Loaded 1 remote nodes
Node JamesBridges initialized on IP 10.90.74.12
Configuration: threads = 10, eventsPerThread = 500, remoteSendPercent = 25%
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 440
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 442
Thread-0 SENT: Event from JamesBridges to BraileySharpe with timestamp 444
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 446
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 448
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 450
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 452
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 454
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 456
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 458
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 460
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 462
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 464
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 466
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 468
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 470
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 472
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 476
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 480
Thread-4 SENT: Event from JamesBridges to BraileySharpe with timestamp 474
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 478
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 482
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 484
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 486
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 488
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 490
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 492
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 494
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 496
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 498
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 500
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 502
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 504
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 506
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 508
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 510
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 512
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 514
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 516
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 518
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 520
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 522
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 524
Thread-7 SENT: Event from JamesBridges to BraileySharpe with timestamp 526
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 528
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 530
Thread-3 SENT: Event from JamesBridges to BraileySharpe with timestamp 532
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 534
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 536
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 538
Thread-3 SENT: Event from JamesBridges to BraileySharpe with timestamp 540
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 542
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 544
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 546
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 548
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 550
Thread-3 SENT: Event from JamesBridges to BraileySharpe with timestamp 552
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 41
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 25
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 558
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 26
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 586
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 70
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 592
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 596
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 9
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 74
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 21
Thread-1 LOCAL: Event from JamesBridges to JamesBridges with timestamp 560
Thread-1 LOCAL: Event from JamesBridges to JamesBridges with timestamp 610
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 14
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 566
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 614
Thread-4 SENT: Event from JamesBridges to BraileySharpe with timestamp 616
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 568
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 618
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 620
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 622
Thread-1 LOCAL: Event from JamesBridges to JamesBridges with timestamp 612
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 43
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 624
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 632
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 634
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 8
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 1
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 57
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 36
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 88
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 580
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 654
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 656
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 23
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 62
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 100
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 119
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 584
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 662
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 664
